state,year,week,date2,deaths,date,month
Alabama,2018,13,03/31/2018,995,2018-03-31T04:00:00Z,3
Alabama,2018,14,04/07/2018,1012,2018-04-07T04:00:00Z,4
Alabama,2018,15,04/14/2018,1026,2018-04-14T04:00:00Z,4
Alabama,2018,16,04/21/2018,1031,2018-04-21T04:00:00Z,4
Alabama,2018,17,04/28/2018,971,2018-04-28T04:00:00Z,4
Alabama,2018,18,05/05/2018,1039,2018-05-05T04:00:00Z,5
Alabama,2018,19,05/12/2018,950,2018-05-12T04:00:00Z,5
Alabama,2018,20,05/19/2018,1005,2018-05-19T04:00:00Z,5
Alabama,2018,21,05/26/2018,977,2018-05-26T04:00:00Z,5
Alabama,2018,22,06/02/2018,973,2018-06-02T04:00:00Z,6
Alabama,2018,23,06/09/2018,1011,2018-06-09T04:00:00Z,6
Alabama,2018,24,06/16/2018,940,2018-06-16T04:00:00Z,6
Alabama,2018,25,06/23/2018,974,2018-06-23T04:00:00Z,6
Alabama,2018,26,06/30/2018,927,2018-06-30T04:00:00Z,6
Alabama,2018,27,07/07/2018,972,2018-07-07T04:00:00Z,7
Alabama,2018,28,07/14/2018,994,2018-07-14T04:00:00Z,7
Alabama,2018,29,07/21/2018,959,2018-07-21T04:00:00Z,7
Alabama,2018,30,07/28/2018,930,2018-07-28T04:00:00Z,7
Alabama,2018,31,08/04/2018,962,2018-08-04T04:00:00Z,8
Alabama,2018,32,08/11/2018,969,2018-08-11T04:00:00Z,8
Alabama,2018,33,08/18/2018,938,2018-08-18T04:00:00Z,8
Alabama,2018,34,08/25/2018,943,2018-08-25T04:00:00Z,8
Alabama,2018,35,09/01/2018,936,2018-09-01T04:00:00Z,9
Alabama,2018,36,09/08/2018,944,2018-09-08T04:00:00Z,9
Alabama,2018,37,09/15/2018,912,2018-09-15T04:00:00Z,9
Alabama,2018,38,09/22/2018,998,2018-09-22T04:00:00Z,9
Alabama,2018,39,09/29/2018,972,2018-09-29T04:00:00Z,9
